Drug,Label,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,LogpSolubility,Ro5,Ghose,Veber,ExAC_loss_frequency,target_betweenness,target_degree,number_targets,Blood,Skin,Brain,Testis,Adipose Tissue,Muscle,Nerve,Blood Vessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,VagiNaN,Stomach,AdreNaNl Gland,Colon,Prostate,Spleen,Liver,Fallopian Tube,Ovary,Breast,Bladder,Cervix Uteri,Small Intestine,Salivary Gland
Abiraterone,passed,349.2405646,3.965292911,1,2,33.12,0,5,1,107.3024,0.00305,1,1,1,0.553846154,748.713007,6,2,0.191786319,0.305930421,0.560263157,8.106690884,0.498659194,0.758427978,1.303972602,0.850861013,0.184833229,0.368649691,0.532503366,4.963463783,2.827641129,0.655594558,0.686754405,0.550949574,0.660233229,0.85163486,10,0.399112806,0.804378778,0.734741658,1.72298044,0.994413674,0.94339186,0.736494988,0.780651987,0.809155345,0.377117366,0.300038218
Acebutolol,passed,336.2049074,1.534681571,3,5,87.66,0,1,10,94.8692,0.172,1,1,0,0.457627119,89139.86205,74,1,2.362123251,5.376092196,2.66193819,0.497891709,10,2.873353481,3.394628048,1.309535742,9.283231735,10,4.539180279,0.481972918,1.276782393,0.25021486,1.989638507,0.38595745,8.287089109,2.476612806,0.441770941,1.402355075,4.420117378,6.518067122,2.618736982,2.319842935,0.295605153,10,2.251211882,3.500741482,2.735410929,5.831739426
Acenocoumarol,passed,353.0899372,2.684691552,1,5,109.42,0,3,5,94.1848,0.0106,1,1,0,0.509803922,0,0,0,0.238178447,0.536906898,0.275855094,0.318254054,0.326446503,0.067416213,0.452121586,0.505916297,0.140974328,0.435193181,0.250698,0.357962996,0.315011755,0.53736043,0.389929056,0.391856015,0.355813235,0.293412387,0.28500919,0.290727928,0.282972574,0.368950993,0.988317043,0.426424518,0.430045933,0.356780618,0.478249341,0.500221908,0.492640465,0.357383668
Acepromazine,passed,326.145284,3.488603085,0,3,23.55,0,3,5,99.3543,0.0098,1,1,1,0.495495495,47272.59785,40,2,0.007850518,0.978405893,1.911266565,0.774569303,1.916011453,0.129492447,1.59265846,7.03880024,1.22844255,3.401805401,0.343037367,1.026302427,1.499414742,10,0.655487984,0.16825217,0.477318853,0.484036595,1.186374843,0.47661376,1.126801431,7.962255955,7.432229042,3.192496419,1.602347612,1.393755913,0.529358447,0.387122244,0.974303901,6.041281223
Aceprometazine,passed,326.145284,3.84521837,0,3,23.55,0,3,4,98.9077,0.0122,1,1,1,0.392156863,0,0,0,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Acetaminophen,passed,151.0633285,0.907390862,2,2,49.33,0,1,1,42.9019,4.15,1,0,0,0.470588235,8170.888632,30,0,6.102405071,10,0.820853233,0.489034012,2.722895622,0.307841688,1.505134642,2.685022354,1.625647783,7.62326622,10,0.89997071,1.945427537,3.136099219,1.958506286,0.637826741,6.834624767,10,1.078719854,10,6.805960655,5.680968046,0.648787886,7.065508842,0.782274485,2.162109017,10,3.340286016,10,1.79864502
Acetazolamide,passed,221.9881315,-1.039466954,2,5,115.04,0,1,2,47.3567,2.79,1,0,0,0.571428571,27332.2638,26,4,10,5.067505121,10,10,10,10,1.388342023,2.00942421,5.158444405,10,1.370481133,10,10,6.354887724,2.641309142,9.910356522,3.188336015,10,4.109553099,10,1.958251238,5.651741266,10,5.215798736,1.594747543,10,2.33104372,4.187677383,3.195822001,10
Acetic Acid,passed,59.01330434,-0.223345714,0,2,40.13,-1,0,0,23.4808,490,1,0,0,0.490196078,15993.69652,24,1,0.007985133,0.077577043,0.307876974,1.452528179,0.102250837,0.007953674,0.02453204,0.024505066,0.030240517,0.058192287,0.068653278,0.25082171,0.059273712,0.281328246,0.0651103,0.03516094,0.374249384,0.083981566,0.020650284,0.054890746,0.18630597,0.04057781,10,0.212420262,0.237521335,0.148924962,0.04369064,0.590457916,0.215835884,0.11709097
Acetohydroxamic Acid,passed,75.03202841,-1.033470055,2,2,49.33,0,0,0,16.2305,509,1,0,0,NaN,301.9771532,10,1,0,0.012072764,0,0.079733737,0.085911557,0,0.03255509,0.009680195,0,0.128962725,0,0.107673049,0,0,0,0,0,0.040046256,0,1.221909702,0.024237246,1.095334679,0,0,0,0.084976286,0.168261886,0,2.804385662,0.199171796
AcetopheNaNzine,passed,411.1980479,2.645620652,1,5,47.02,0,4,7,121.6967,0.0601,1,1,0,0.394230769,47272.59785,40,0,0.007850518,0.067573931,1.911266565,0.774569303,0.143048093,0.120648146,1.243043959,0.139792264,0.017448997,0.293754935,0.107775331,0.050590325,0.115311384,10,0.304680526,0.043005444,0.258125238,0.078410164,0.166386597,0.101115141,0.539827049,0.060554918,0.101497263,0.249922402,0.076274909,0.688240379,0.529358447,0.212513506,0.178321391,6.041281223
Acetylcysteine,passed,163.0303138,-0.711312742,3,3,66.4,0,0,3,37.6674,5.09,1,0,0,0.569767442,129055.5274,332,2,10,10,10,10,10,8.415007591,10,10,10,10,10,10,10,10,10,8.186999321,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acetyldigitoxin,passed,806.4452568,4.038617149,4,12,188.9,0,8,9,200.8688,0.0123,0,0,0,0.352112676,55774.75576,602,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acetylsalicylic Acid,passed,180.0422587,1.238089698,1,3,63.6,0,1,3,44.4466,1.46,1,1,0,0.655172414,8170.888632,30,2,6.102405071,10,1.32149446,2.781517386,10,3.535234451,8.691450119,5.565985203,3.049853325,7.62326622,10,7.13095808,8.167417049,3.136099219,1.958506286,1.47846067,6.834624767,10,1.348212898,10,6.805960655,5.680968046,10,7.065508842,1.871321678,8.047014713,10,3.340286016,10,10
Acitretin,passed,326.1881947,5.587048726,1,3,46.53,0,1,6,104.1665,0.000478,0,1,0,0.680851064,113800.6975,1014,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aclidinium,passed,484.1616248,0.446525622,1,3,55.76,1,5,10,141.3325,0.00152,1,0,0,0.366666667,23664.94249,22,1,0.061775491,0.56154722,8.412851334,5.980387688,0.093590349,0.020418044,0.162510723,0.081256516,6.764817238,1.19683969,0.476170391,0.132184703,0.162137412,1.146733701,0.109509081,0.493829697,0.081816386,0.513489544,0.064388951,3.630660295,10,4.869907141,0.130754955,0.167142754,0.225144267,0.69010514,4.940295696,0.17120789,2.165588617,4.811089993
